smiles,id,"logP
experimental
",train/test
[H]N(C(=O)C1=C(Cl)C2=C(S1)C([H])=C([H])C([H])=C2[H])C([H])([H])[C@@]1([H])OC([H])([H])C([H])([H])C1([H])[H],ZINC00041369,3.56,train
[H]OC(=NC([H])([H])[C@@]1([H])OC([H])([H])C([H])([H])C1([H])[H])C1=C(Cl)C2=C([H])C([H])=C([H])C([H])=C2S1,ZINC00041369,3.56,train
ClC1=C(SC2=CC=CC=C12)C(=O)NC[C@@H]1CCCO1,ZINC00041369,3.56,train
ClC1=C(SC2=CC=CC=C12)C(=O)NCC1CCCO1,ZINC00041369,3.56,train
OC(=NC[C@@H]1CCCO1)C1=C(Cl)C2=CC=CC=C2S1,ZINC00041369,3.56,train
OC(=NCC1CCCO1)C1=C(Cl)C2=CC=CC=C2S1,ZINC00041369,3.56,train
[H]N(C(=O)C(\\[H])=C(/[H])C1=C([H])C([H])=C2OC([H])([H])OC2=C1[H])C1=C([H])C2=C(OC([H])([H])O2)C([H])=C1[H],ZINC00045256,3.72,train
O=C(NC1=CC=C2OCOC2=C1)\C=C\C1=CC2=C(OCO2)C=C1,ZINC00045256,3.72,train
O=C(NC1=CC=C2OCOC2=C1)C=CC1=CC2=C(OCO2)C=C1,ZINC00045256,3.72,train
OC(C=CC1=CC2=C(OCO2)C=C1)=NC1=CC=C2OCOC2=C1,ZINC00045256,3.72,train
OC(NC1=CC=C2OCOC2=C1)=C=CC1=CC2=C(OCO2)C=C1,ZINC00045256,3.72,train
[H]N(C(=O)C1=C([H])C([H])=C(Cl)C([H])=C1[H])C([H])([H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H],ZINC00047229,3.71,train
[H]OC(=NC([H])([H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H])C1=C([H])C([H])=C(Cl)C([H])=C1[H],ZINC00047229,3.71,train
ClC1=CC=C(C=C1)C(=O)NCCC1=CC=CC=C1,ZINC00047229,3.71,train
OC(=NCCC1=CC=CC=C1)C1=CC=C(Cl)C=C1,ZINC00047229,3.71,train
[H]C1=C([H])N(C(=N1)C([H])([H])[H])S(=O)(=O)C1=C([H])C([H])=C(Cl)C([H])=C1[H],ZINC00051416,2.93,train
CC1=NC=CN1S(=O)(=O)C1=CC=C(Cl)C=C1,ZINC00051416,2.93,train
Cc1nccn1S(=O)(=O)c1ccc(Cl)cc1,ZINC00051416,2.93,train
[H]C1=C(OC([H])([H])[H])C(OC([H])([H])[H])=C([H])C2=C1C([H])([H])C([H])([H])N1C(=O)OC3(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])[C@@]21C([H])([H])[H],ZINC00052373,3.47,train
COC1=C(OC)C=C2C(CCN3C(=O)OC4(CCCCC4)[C@@]23C)=C1,ZINC00052373,3.47,train
COc1cc2CCN3C(=O)OC4(CCCCC4)C3(C)c2cc1OC,ZINC00052373,3.47,train
[H]N([H])C1=C(C(=NN1C1=C([H])C([H])=C([H])C([H])=C1[H])C([H])([H])[H])C1=C([H])C([H])=C([H])C([H])=C1[H],ZINC00053798,3.27,train
[H]N=C1N(N([H])C(=C1C1=C([H])C([H])=C([H])C([H])=C1[H])C([H])([H])[H])C1=C([H])C([H])=C([H])C([H])=C1[H],ZINC00053798,3.27,train
CC1=C(C(=N)N(N1)C1=CC=CC=C1)C1=CC=CC=C1,ZINC00053798,3.27,train
CC1=NN(C(N)=C1C1=CC=CC=C1)C1=CC=CC=C1,ZINC00053798,3.27,train
[H]N(C(=O)C1=C([H])C(OC([H])([H])[H])=C(OC([H])([H])[H])C(OC([H])([H])[H])=C1[H])C1=C([H])C(C#N)=C([H])C([H])=C1[H],ZINC00054730,3.44,train
[H]OC(=NC1=C([H])C(C#N)=C([H])C([H])=C1[H])C1=C([H])C(OC([H])([H])[H])=C(OC([H])([H])[H])C(OC([H])([H])[H])=C1[H],ZINC00054730,3.44,train
COC1=CC(=CC(OC)=C1OC)C(=O)NC1=CC=CC(=C1)C#N,ZINC00054730,3.44,train
COC1=CC(=CC(OC)=C1OC)C(O)=NC1=CC=CC(=C1)C#N,ZINC00054730,3.44,train
[H]C1=C([H])C([H])=C(O1)C1=NN=C(O1)C1=C([H])C(OC([H])([H])C([H])([H])[H])=C(OC([H])([H])C([H])([H])[H])C(OC([H])([H])C([H])([H])[H])=C1[H],ZINC00055459,3.96,train
CCOC1=CC(=CC(OCC)=C1OCC)C1=NN=C(O1)C1=CC=CO1,ZINC00055459,3.96,train
CCOc1cc(cc(OCC)c1OCC)-c1nnc(o1)-c1ccco1,ZINC00055459,3.96,train
[H]\\C(=N/S(=O)(=O)C1=C([H])C([H])=C([H])S1)C1=C([H])C([H])=C(Br)C([H])=C1[H],ZINC00055548,2.14,train
BrC1=CC=C(\C=N/S(=O)(=O)C2=CC=CS2)C=C1,ZINC00055548,2.14,train
Brc1ccc(C=NS(=O)(=O)c2cccs2)cc1,ZINC00055548,2.14,train
[H]C([H])=C(C1=C([H])C([H])=C(C([H])=C1[H])N(C([H])([H])[H])C([H])([H])[H])C1=C([H])C([H])=C(C([H])=C1[H])N(C([H])([H])[H])C([H])([H])[H],ZINC00056871,5.3,train
CN(C)C1=CC=C(C=C1)C(=C)C1=CC=C(C=C1)N(C)C,ZINC00056871,5.3,train
CN(C)c1ccc(cc1)C(=C)c1ccc(cc1)N(C)C,ZINC00056871,5.3,train
[H]N([H])C1=C(N([H])C2=C([H])C([H])=C([H])C([H])=C2[H])C([H])=C([H])C([H])=C1[H],ZINC00058285,2.67,train
NC1=CC=CC=C1NC1=CC=CC=C1,ZINC00058285,2.67,train
Nc1ccccc1Nc1ccccc1,ZINC00058285,2.67,train
[H]O[C@@]([H])(C#CC(O[H])(C1=C([H])C([H])=C([H])C([H])=C1[H])C1=C([H])C([H])=C([H])C([H])=C1[H])C1=C([H])C([H])=C(O1)C([H])([H])[H],ZINC00058341,3.53,train
CC1=CC=C(O1)[C@@H](O)C#CC(O)(C1=CC=CC=C1)C1=CC=CC=C1,ZINC00058341,3.53,train
Cc1ccc(o1)C(O)C#CC(O)(c1ccccc1)c1ccccc1,ZINC00058341,3.53,train
[H]N1N=C(C([H])=C1C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],ZINC00062144,4.35,train
[H]N1N=C(C([H])=C1C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H],ZINC00062144,4.35,train
CC(C)(C)C1=CC(CC2=CC=CC=C2)=NN1,ZINC00062144,4.35,train
CC(C)(C)C1=NNC(CC2=CC=CC=C2)=C1,ZINC00062144,4.35,train
[H]N(C(=S)N([H])[C@@]1([H])C([H])([H])[C@]([H])(C([H])([H])[H])C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C1([H])[H])C([H])([H])C1=C([H])SC2=C([H])C([H])=C([H])C([H])=C12,ZINC00069488,6.21,train
[H]N(C(=S)N([H])[C@@]1([H])C([H])([H])[C@]([H])(C([H])([H])[H])C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C1([H])[H])C([H])([H])C1=C([H])SC2=C1C([H])=C([H])C([H])=C2[H],ZINC00069488,6.21,train
[H]SC(=N[C@@]1([H])C([H])([H])[C@]([H])(C([H])([H])[H])C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C1([H])[H])N([H])C([H])([H])C1=C([H])SC2=C([H])C([H])=C([H])C([H])=C12,ZINC00069488,6.21,train
[H]SC(=NC([H])([H])C1=C([H])SC2=C([H])C([H])=C([H])C([H])=C12)N([H])[C@@]1([H])C([H])([H])[C@]([H])(C([H])([H])[H])C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C1([H])[H],ZINC00069488,6.21,train
C[C@H]1C[C@@H](CC(C)(C)C1)N=C(S)NCC1=CSC2=CC=CC=C12,ZINC00069488,6.21,train
C[C@H]1C[C@@H](CC(C)(C)C1)NC(=S)NCC1=CSC2=CC=CC=C12,ZINC00069488,6.21,train
C[C@H]1C[C@@H](CC(C)(C)C1)NC(S)=NCC1=CSC2=CC=CC=C12,ZINC00069488,6.21,train
CC1CC(CC(C)(C)C1)N=C(S)NCC1=CSC2=CC=CC=C12,ZINC00069488,6.21,train
CC1CC(CC(C)(C)C1)NC(=S)NCC1=CSC2=CC=CC=C12,ZINC00069488,6.21,train
CC1CC(CC(C)(C)C1)NC(S)=NCC1=CSC2=CC=CC=C12,ZINC00069488,6.21,train
[H]N(C1=NC(=NC([H])([H])C([H])([H])[H])N([H])C(OC2=NN=C(OC([H])([H])C([H])([H])[H])C([H])=C2[H])=N1)C([H])(C([H])([H])[H])C([H])([H])[H],ZINC00072787,3.14,train
[H]N(C1=NC(=NC([H])([H])C([H])([H])[H])N=C(OC2=NN=C(OC([H])([H])C([H])([H])[H])C([H])=C2[H])N1[H])C([H])(C([H])([H])[H])C([H])([H])[H],ZINC00072787,3.14,train
[H]N(C1=NC(=NC([H])(C([H])([H])[H])C([H])([H])[H])N([H])C(OC2=NN=C(OC([H])([H])C([H])([H])[H])C([H])=C2[H])=N1)C([H])([H])C([H])([H])[H],ZINC00072787,3.14,train
[H]N(C1=NC(=NC([H])(C([H])([H])[H])C([H])([H])[H])N=C(OC2=NN=C(OC([H])([H])C([H])([H])[H])C([H])=C2[H])N1[H])C([H])([H])C([H])([H])[H],ZINC00072787,3.14,train
[H]N(C1=NC(OC2=NN=C(OC([H])([H])C([H])([H])[H])C([H])=C2[H])=NC(=N1)N([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])[H],ZINC00072787,3.14,train
[H]N(C1=NC(OC2=NN=C(OC([H])([H])C([H])([H])[H])C([H])=C2[H])=NC(=NC([H])([H])C([H])([H])[H])N1[H])C([H])(C([H])([H])[H])C([H])([H])[H],ZINC00072787,3.14,train
[H]N(C1=NC(OC2=NN=C(OC([H])([H])C([H])([H])[H])C([H])=C2[H])=NC(=NC([H])(C([H])([H])[H])C([H])([H])[H])N1[H])C([H])([H])C([H])([H])[H],ZINC00072787,3.14,train
[H]N1C(OC2=NN=C(OC([H])([H])C([H])([H])[H])C([H])=C2[H])=NC(=NC([H])([H])C([H])([H])[H])N([H])C1=NC([H])(C([H])([H])[H])C([H])([H])[H],ZINC00072787,3.14,train
[H]N1C(OC2=NN=C(OC([H])([H])C([H])([H])[H])C([H])=C2[H])=NC(=NC([H])(C([H])([H])[H])C([H])([H])[H])N([H])C1=NC([H])([H])C([H])([H])[H],ZINC00072787,3.14,train
CCNC1=NC(=NC(C)C)N=C(N1)OC1=CC=C(OCC)N=N1,ZINC00072787,3.14,train
CCNC1=NC(NC(C)C)=NC(OC2=CC=C(OCC)N=N2)=N1,ZINC00072787,3.14,train
CCNC1=NC(NC(OC2=CC=C(OCC)N=N2)=N1)=NC(C)C,ZINC00072787,3.14,train
CCNC1=NC(OC2=CC=C(OCC)N=N2)=NC(N1)=NC(C)C,ZINC00072787,3.14,train
CCOC1=CC=C(OC2=NC(=NCC)N=C(NC(C)C)N2)N=N1,ZINC00072787,3.14,train
CCOC1=CC=C(OC2=NC(NC(C)C)=NC(N2)=NCC)N=N1,ZINC00072787,3.14,train
CCOC1=CC=C(OC2=NC(NC(N2)=NC(C)C)=NCC)N=N1,ZINC00072787,3.14,train
CCOC1=CC=C(OC2=NC(NC(N2)=NCC)=NC(C)C)N=N1,ZINC00072787,3.14,train
CCOC1=CC=C(OC2=NC(NC(NC(C)C)=N2)=NCC)N=N1,ZINC00072787,3.14,train
[H]C1=C([H])C2=C(OC([H])([H])C([H])([H])OC([H])([H])C([H])([H])OC([H])([H])C([H])([H])O2)C([H])=C1[H],ZINC00074829,1.81,train
C1COCCOC2=CC=CC=C2OCCO1,ZINC00074829,1.81,train
C1COCCOc2ccccc2OCCO1,ZINC00074829,1.81,train
[H]C1=C(N=C(S1)C([H])([H])[H])C1=C([H])C([H])=C(Cl)C([H])=C1[H],ZINC00076749,3.65,train
CC1=NC(=CS1)C1=CC=C(Cl)C=C1,ZINC00076749,3.65,train
Cc1nc(cs1)-c1ccc(Cl)cc1,ZINC00076749,3.65,train
[H]O[C@@]1(N(N([H])C(=C([H])[H])C1([H])[H])C(=O)C1=C(Cl)C([H])=C([H])C([H])=C1[H])C1=C([H])C([H])=C(Cl)C([H])=C1[H],ZINC00077562,3.73,train
[H]O[C@@]1(N(N=C(C([H])([H])[H])C1([H])[H])C(=O)C1=C(Cl)C([H])=C([H])C([H])=C1[H])C1=C([H])C([H])=C(Cl)C([H])=C1[H],ZINC00077562,3.73,train
[H]O[C@]1(C([H])=C(N([H])N1C(=O)C1=C(Cl)C([H])=C([H])C([H])=C1[H])C([H])([H])[H])C1=C([H])C([H])=C(Cl)C([H])=C1[H],ZINC00077562,3.73,train
CC1=C[C@](O)(N(N1)C(=O)C1=CC=CC=C1Cl)C1=CC=C(Cl)C=C1,ZINC00077562,3.73,train
CC1=CC(O)(N(N1)C(=O)C1=CC=CC=C1Cl)C1=CC=C(Cl)C=C1,ZINC00077562,3.73,train
CC1=NN(C(=O)C2=CC=CC=C2Cl)[C@@](O)(C1)C1=CC=C(Cl)C=C1,ZINC00077562,3.73,train
CC1=NN(C(=O)C2=CC=CC=C2Cl)C(O)(C1)C1=CC=C(Cl)C=C1,ZINC00077562,3.73,train
O[C@]1(CC(=C)NN1C(=O)C1=CC=CC=C1Cl)C1=CC=C(Cl)C=C1,ZINC00077562,3.73,train
OC1(CC(=C)NN1C(=O)C1=CC=CC=C1Cl)C1=CC=C(Cl)C=C1,ZINC00077562,3.73,train
[H]N([H])C1=C(C#N)[C@]([H])(C2=C([H])C([H])=C([H])S2)C2=C(O1)C1=C([H])C([H])=C([H])C([H])=C1OC2=O,ZINC00077710,2.34,train
[H]N([H])C1=C(C#N)[C@]([H])(C2=C([H])C([H])=C([H])S2)C2=C(O1)C1=C(OC2=O)C([H])=C([H])C([H])=C1[H],ZINC00077710,2.34,train
[H]N=C=C1C(=N[H])OC2=C(C(=O)OC3=C([H])C([H])=C([H])C([H])=C23)[C@@]1([H])C1=C([H])C([H])=C([H])S1,ZINC00077710,2.34,train
[H]N=C1OC2=C(C(=O)OC3=C([H])C([H])=C([H])C([H])=C23)[C@@]([H])(C2=C([H])C([H])=C([H])S2)C1([H])C#N,ZINC00077710,2.34,train
N=C=C1[C@H](C2=CC=CS2)C2=C(OC1=N)C1=CC=CC=C1OC2=O,ZINC00077710,2.34,train
N=C=C1C(C2=CC=CS2)C2=C(OC1=N)C1=CC=CC=C1OC2=O,ZINC00077710,2.34,train
N=C1OC2=C([C@H](C1C#N)C1=CC=CS1)C(=O)OC1=CC=CC=C21,ZINC00077710,2.34,train
N=C1OC2=C(C(C1C#N)C1=CC=CS1)C(=O)OC1=CC=CC=C21,ZINC00077710,2.34,train
NC1=C(C#N)[C@H](C2=CC=CS2)C2=C(O1)C1=CC=CC=C1OC2=O,ZINC00077710,2.34,train
NC1=C(C#N)C(C2=CC=CS2)C2=C(O1)C1=CC=CC=C1OC2=O,ZINC00077710,2.34,train
[H]C1=C([H])C([H])=C(S1)C1=NN=C2SC([H])([H])C(=NN12)C([H])([H])C(=O)OC([H])([H])C([H])([H])[H],ZINC00081411,2.98,train
[H]N1N2C(SC([H])([H])C1=C([H])C(=O)OC([H])([H])C([H])([H])[H])=NN=C2C1=C([H])C([H])=C([H])S1,ZINC00081411,2.98,train
[H]N1N2C(SC([H])=C1C([H])([H])C(=O)OC([H])([H])C([H])([H])[H])=NN=C2C1=C([H])C([H])=C([H])S1,ZINC00081411,2.98,train
CCOC(=O)C=C1CSC2=NN=C(N2N1)C1=CC=CS1,ZINC00081411,2.98,train
CCOC(=O)CC1=CSC2=NN=C(N2N1)C1=CC=CS1,ZINC00081411,2.98,train
CCOC(=O)CC1=NN2C(SC1)=NN=C2C1=CC=CS1,ZINC00081411,2.98,train
[H]N(C1=C(C([H])=O)C(=O)N2C([H])=C([H])C([H])=C(C2=N1)C([H])([H])[H])C([H])([H])[H],ZINC00081634,2.68,train
[H]OC1=C(C([H])=O)C(=NC([H])([H])[H])N=C2N1C([H])=C([H])C([H])=C2C([H])([H])[H],ZINC00081634,2.68,train
CN=C1N=C2N(C=CC=C2C)C(O)=C1C=O,ZINC00081634,2.68,train
CNC1=C(C=O)C(=O)N2C=CC=C(C)C2=N1,ZINC00081634,2.68,train
[H]N(C(=O)[C@]1([H])OC2=C(C([H])=C([H])C([H])=C2[H])C([H])([H])C1([H])[H])C1=C([H])C([H])=C(C([H])=C1[H])C(F)(F)F,ZINC00082336,4.5,train
[H]OC(=NC1=C([H])C([H])=C(C([H])=C1[H])C(F)(F)F)[C@]1([H])OC2=C(C([H])=C([H])C([H])=C2[H])C([H])([H])C1([H])[H],ZINC00082336,4.5,train
[H]OC(N([H])C1=C([H])C([H])=C(C([H])=C1[H])C(F)(F)F)=C1OC2=C(C([H])=C([H])C([H])=C2[H])C([H])([H])C1([H])[H],ZINC00082336,4.5,train
FC(F)(F)C1=CC=C(NC(=O)[C@H]2CCC3=CC=CC=C3O2)C=C1,ZINC00082336,4.5,train
FC(F)(F)C1=CC=C(NC(=O)C2CCC3=CC=CC=C3O2)C=C1,ZINC00082336,4.5,train
OC(=NC1=CC=C(C=C1)C(F)(F)F)[C@H]1CCC2=CC=CC=C2O1,ZINC00082336,4.5,train
OC(=NC1=CC=C(C=C1)C(F)(F)F)C1CCC2=CC=CC=C2O1,ZINC00082336,4.5,train
OC(NC1=CC=C(C=C1)C(F)(F)F)=C1CCC2=CC=CC=C2O1,ZINC00082336,4.5,train
[H]N(C(=S)N([H])C([H])([H])C([H])([H])C1=C([H])N([H])C2=C([H])C([H])=C([H])C([H])=C12)C1=C(C([H])=C(Cl)C([H])=C1[H])C([H])([H])[H],ZINC00084666,4.34,train
[H]N(C(=S)N([H])C([H])([H])C([H])([H])C1=C([H])N([H])C2=C1C([H])=C([H])C([H])=C2[H])C1=C(C([H])=C(Cl)C([H])=C1[H])C([H])([H])[H],ZINC00084666,4.34,train
[H]SC(=NC([H])([H])C([H])([H])C1=C([H])N([H])C2=C([H])C([H])=C([H])C([H])=C12)N([H])C1=C(C([H])=C(Cl)C([H])=C1[H])C([H])([H])[H],ZINC00084666,4.34,train
[H]SC(=NC1=C(C([H])=C(Cl)C([H])=C1[H])C([H])([H])[H])N([H])C([H])([H])C([H])([H])C1=C([H])N([H])C2=C([H])C([H])=C([H])C([H])=C12,ZINC00084666,4.34,train
CC1=CC(Cl)=CC=C1N=C(S)NCCC1=CNC2=CC=CC=C12,ZINC00084666,4.34,train
CC1=CC(Cl)=CC=C1NC(=S)NCCC1=CNC2=CC=CC=C12,ZINC00084666,4.34,train
CC1=CC(Cl)=CC=C1NC(S)=NCCC1=CNC2=CC=CC=C12,ZINC00084666,4.34,train
[H]C1=C([H])C(=C([H])C(=C1[H])C1=NOC(=N1)C([H])([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])[N+]([O-])=O,ZINC00087965,5.17,train
[O-][N+](=O)C1=CC=CC(=C1)C1=NOC(CC2CCCCC2)=N1,ZINC00087965,5.17,train
[O-][N+](=O)c1cccc(c1)-c1noc(CC2CCCCC2)n1,ZINC00087965,5.17,train
[H]C([H])=C1N([H])C(=C([H])[H])[C@@]([H])(C(=O)OC([H])([H])[H])[C@]([H])(C2=C([H])C(Cl)=C([H])C([H])=C2[H])C1([H])C(=O)OC([H])([H])[H],ZINC00088004,4.22,train
[H]C([H])=C1N([H])C(=C(C(=O)OC([H])([H])[H])[C@@]([H])(C2=C([H])C(Cl)=C([H])C([H])=C2[H])[C@]1([H])C(=O)OC([H])([H])[H])C([H])([H])[H],ZINC00088004,4.22,train
[H]C([H])=C1N([H])C(=C(C(=O)OC([H])([H])[H])[C@]([H])(C2=C([H])C(Cl)=C([H])C([H])=C2[H])C1([H])C(=O)OC([H])([H])[H])C([H])([H])[H],ZINC00088004,4.22,train
[H]C([H])=C1N=C(C([H])([H])[H])[C@@]([H])(C(=O)OC([H])([H])[H])[C@]([H])(C2=C([H])C(Cl)=C([H])C([H])=C2[H])C1([H])C(=O)OC([H])([H])[H],ZINC00088004,4.22,train
[H]C([H])=C1N=C(C([H])([H])[H])C([H])(C(=O)OC([H])([H])[H])[C@@]([H])(C2=C([H])C(Cl)=C([H])C([H])=C2[H])[C@]1([H])C(=O)OC([H])([H])[H],ZINC00088004,4.22,train
[H]C1=C([H])C(=C([H])C(Cl)=C1[H])[C@@]1([H])C(C(=O)OC([H])([H])[H])=C(N=C(C([H])([H])[H])C1([H])C(=O)OC([H])([H])[H])C([H])([H])[H],ZINC00088004,4.22,train
[H]C1=C([H])C(=C([H])C(Cl)=C1[H])[C@]1([H])C(C(=O)OC([H])([H])[H])=C(N=C(C([H])([H])[H])[C@@]1([H])C(=O)OC([H])([H])[H])C([H])([H])[H],ZINC00088004,4.22,train
[H]N1C(=C(C(=O)OC([H])([H])[H])C([H])(C2=C([H])C(Cl)=C([H])C([H])=C2[H])C(C(=O)OC([H])([H])[H])=C1C([H])([H])[H])C([H])([H])[H],ZINC00088004,4.22,train
COC(=O)C1[C@@H](C(C(=O)OC)C(=C)N=C1C)C1=CC=CC(Cl)=C1,ZINC00088004,4.22,train
COC(=O)C1[C@@H](C2=CC=CC(Cl)=C2)C(C(=O)OC)=C(C)N=C1C,ZINC00088004,4.22,train
COC(=O)C1[C@@H](C2=CC=CC(Cl)=C2)C(C(=O)OC)=C(C)NC1=C,ZINC00088004,4.22,train
COC(=O)C1[C@H](C(C(=O)OC)C(=C)N=C1C)C1=CC=CC(Cl)=C1,ZINC00088004,4.22,train
COC(=O)C1[C@H](C2=CC=CC(Cl)=C2)C(C(=O)OC)=C(C)N=C1C,ZINC00088004,4.22,train
COC(=O)C1[C@H](C2=CC=CC(Cl)=C2)C(C(=O)OC)=C(C)NC1=C,ZINC00088004,4.22,train
COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC(Cl)=C1)C(=O)OC,ZINC00088004,4.22,train
COC(=O)C1C(C(C(=O)OC)C(=C)N=C1C)C1=CC=CC(Cl)=C1,ZINC00088004,4.22,train
COC(=O)C1C(C(C(=O)OC)C(=C)NC1=C)C1=CC=CC(Cl)=C1,ZINC00088004,4.22,train
COC(=O)C1C(C2=CC=CC(Cl)=C2)C(C(=O)OC)=C(C)N=C1C,ZINC00088004,4.22,train
COC(=O)C1C(C2=CC=CC(Cl)=C2)C(C(=O)OC)=C(C)NC1=C,ZINC00088004,4.22,train
[H]C([H])=C([H])C([H])([H])N1C(SC([H])([H])C2=C([H])C([H])=C([H])C([H])=C2[H])=NC2=C(C([H])=C([H])C([H])=C2[H])C1=O,ZINC00088069,5.11,train
C=CCN1C(=O)C2=CC=CC=C2N=C1SCC1=CC=CC=C1,ZINC00088069,5.11,train
C=CCn1c(SCc2ccccc2)nc2ccccc2c1=O,ZINC00088069,5.11,train
[H]C1=C(OC(=O)N(C([H])([H])[H])C([H])([H])[H])N=C(SC([H])([H])C(=O)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])N=C1C([H])([H])OC([H])([H])[H],ZINC00089307,3.33,train
[H]OC(=C([H])SC1=NC(OC(=O)N(C([H])([H])[H])C([H])([H])[H])=C([H])C(=N1)C([H])([H])OC([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],ZINC00089307,3.33,train
COCC1=CC(OC(=O)N(C)C)=NC(SC=C(O)C(C)(C)C)=N1,ZINC00089307,3.33,train
COCC1=CC(OC(=O)N(C)C)=NC(SCC(=O)C(C)(C)C)=N1,ZINC00089307,3.33,train
